antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'product=Chromium V8'}),"frozenset({'ransomware=False', 'vendor=Google'})",0.025227750525578137,0.04555010511562719,0.025227750525578137,1.0,21.953846153846154,1.0,0.024078623837307234,inf,0.9791516894320633,0.5538461538461539,1.0,0.7769230769230769
"frozenset({'ransomware=False', 'vendor=Google'})",frozenset({'product=Chromium V8'}),0.04555010511562719,0.025227750525578137,0.025227750525578137,0.5538461538461539,21.953846153846154,1.0,0.024078623837307234,2.184834352270256,1.0,0.5538461538461539,0.542299397223912,0.7769230769230769
frozenset({'vendor=Google'}),frozenset({'product=Chromium V8'}),0.04555010511562719,0.025227750525578137,0.025227750525578137,0.5538461538461539,21.953846153846154,1.0,0.024078623837307234,2.184834352270256,1.0,0.5538461538461539,0.542299397223912,0.7769230769230769
frozenset({'product=Chromium V8'}),frozenset({'vendor=Google'}),0.025227750525578137,0.04555010511562719,0.025227750525578137,1.0,21.953846153846154,1.0,0.024078623837307234,inf,0.9791516894320633,0.5538461538461539,1.0,0.7769230769230769
"frozenset({'ransomware=False', 'product=Chromium V8'})",frozenset({'vendor=Google'}),0.025227750525578137,0.04555010511562719,0.025227750525578137,1.0,21.953846153846154,1.0,0.024078623837307234,inf,0.9791516894320633,0.5538461538461539,1.0,0.7769230769230769
frozenset({'vendor=Google'}),"frozenset({'ransomware=False', 'product=Chromium V8'})",0.04555010511562719,0.025227750525578137,0.025227750525578137,0.5538461538461539,21.953846153846154,1.0,0.024078623837307234,2.184834352270256,1.0,0.5538461538461539,0.542299397223912,0.7769230769230769
"frozenset({'ransomware=False', 'year=<=2022', 'vendor=Adobe'})",frozenset({'product=Flash Player'}),0.04134548002803083,0.023125437981779958,0.020322354590049056,0.49152542372881364,21.2547508988187,1.0,0.019366222255833905,1.921186638635833,0.994051220004033,0.46031746031746035,0.47948836417576546,0.6851566512583462
"frozenset({'ransomware=False', 'product=Flash Player'})","frozenset({'vendor=Adobe', 'year=<=2022'})",0.023125437981779958,0.04134548002803083,0.020322354590049056,0.8787878787878789,21.2547508988187,1.0,0.019366222255833905,7.9088997897687525,0.9755108098748329,0.46031746031746035,0.8735601630338473,0.6851566512583462
frozenset({'product=Flash Player'}),"frozenset({'ransomware=False', 'year=<=2022', 'vendor=Adobe'})",0.023125437981779958,0.04134548002803083,0.020322354590049056,0.8787878787878789,21.2547508988187,1.0,0.019366222255833905,7.9088997897687525,0.9755108098748329,0.46031746031746035,0.8735601630338473,0.6851566512583462
"frozenset({'vendor=Adobe', 'year=<=2022'})","frozenset({'ransomware=False', 'product=Flash Player'})",0.04134548002803083,0.023125437981779958,0.020322354590049056,0.49152542372881364,21.2547508988187,1.0,0.019366222255833905,1.921186638635833,0.994051220004033,0.46031746031746035,0.47948836417576546,0.6851566512583462
"frozenset({'vendor=Adobe', 'year=<=2022'})",frozenset({'product=Flash Player'}),0.04134548002803083,0.023125437981779958,0.020322354590049056,0.49152542372881364,21.2547508988187,1.0,0.019366222255833905,1.921186638635833,0.994051220004033,0.46031746031746035,0.47948836417576546,0.6851566512583462
frozenset({'product=Flash Player'}),"frozenset({'vendor=Adobe', 'year=<=2022'})",0.023125437981779958,0.04134548002803083,0.020322354590049056,0.8787878787878789,21.2547508988187,1.0,0.019366222255833905,7.9088997897687525,0.9755108098748329,0.46031746031746035,0.8735601630338473,0.6851566512583462
frozenset({'vendor=Adobe'}),"frozenset({'ransomware=False', 'year=<=2022', 'product=Flash Player'})",0.05255781359495445,0.020322354590049056,0.020322354590049056,0.3866666666666667,19.026666666666667,1.0,0.01925425606569469,1.5973005088205723,1.0,0.38666666666666666,0.37394372913686225,0.6933333333333334
"frozenset({'year=<=2022', 'product=Flash Player'})","frozenset({'ransomware=False', 'vendor=Adobe'})",0.020322354590049056,0.05255781359495445,0.020322354590049056,1.0,19.026666666666667,1.0,0.01925425606569469,inf,0.9670958512160228,0.38666666666666666,1.0,0.6933333333333334
"frozenset({'ransomware=False', 'vendor=Adobe'})","frozenset({'year=<=2022', 'product=Flash Player'})",0.05255781359495445,0.020322354590049056,0.020322354590049056,0.3866666666666667,19.026666666666667,1.0,0.01925425606569469,1.5973005088205723,1.0,0.38666666666666666,0.37394372913686225,0.6933333333333334
"frozenset({'ransomware=False', 'year=<=2022', 'product=Flash Player'})",frozenset({'vendor=Adobe'}),0.020322354590049056,0.05255781359495445,0.020322354590049056,1.0,19.026666666666667,1.0,0.01925425606569469,inf,0.9670958512160228,0.38666666666666666,1.0,0.6933333333333334
"frozenset({'ransomware=False', 'vendor=Adobe'})",frozenset({'product=Flash Player'}),0.05255781359495445,0.023125437981779958,0.023125437981779958,0.44,19.026666666666667,1.0,0.021910015523031887,1.7444188607468214,1.0,0.44000000000000006,0.42674318507890957,0.72
frozenset({'vendor=Adobe'}),"frozenset({'ransomware=False', 'product=Flash Player'})",0.05255781359495445,0.023125437981779958,0.023125437981779958,0.44,19.026666666666667,1.0,0.021910015523031887,1.7444188607468214,1.0,0.44000000000000006,0.42674318507890957,0.72
"frozenset({'year=<=2022', 'product=Flash Player'})",frozenset({'vendor=Adobe'}),0.020322354590049056,0.05255781359495445,0.020322354590049056,1.0,19.026666666666667,1.0,0.01925425606569469,inf,0.9670958512160228,0.38666666666666666,1.0,0.6933333333333334
frozenset({'vendor=Adobe'}),"frozenset({'year=<=2022', 'product=Flash Player'})",0.05255781359495445,0.020322354590049056,0.020322354590049056,0.3866666666666667,19.026666666666667,1.0,0.01925425606569469,1.5973005088205723,1.0,0.38666666666666666,0.37394372913686225,0.6933333333333334
frozenset({'product=Flash Player'}),frozenset({'vendor=Adobe'}),0.023125437981779958,0.05255781359495445,0.023125437981779958,1.0,19.026666666666667,1.0,0.021910015523031887,inf,0.9698708751793399,0.44000000000000006,1.0,0.72
frozenset({'vendor=Adobe'}),frozenset({'product=Flash Player'}),0.05255781359495445,0.023125437981779958,0.023125437981779958,0.44,19.026666666666667,1.0,0.021910015523031887,1.7444188607468214,1.0,0.44000000000000006,0.42674318507890957,0.72
frozenset({'product=Flash Player'}),"frozenset({'ransomware=False', 'vendor=Adobe'})",0.023125437981779958,0.05255781359495445,0.023125437981779958,1.0,19.026666666666667,1.0,0.021910015523031887,inf,0.9698708751793399,0.44000000000000006,1.0,0.72
"frozenset({'ransomware=False', 'product=Flash Player'})",frozenset({'vendor=Adobe'}),0.023125437981779958,0.05255781359495445,0.023125437981779958,1.0,19.026666666666667,1.0,0.021910015523031887,inf,0.9698708751793399,0.44000000000000006,1.0,0.72
frozenset({'product=Multiple Products'}),frozenset({'vendor=Apple'}),0.046250875963559916,0.05886475122634898,0.03153468815697267,0.6818181818181818,11.582792207792208,1.0,0.028812141849376992,2.957853639002903,0.9579720793534167,0.4285714285714286,0.6619170107628782,0.6087662337662337
frozenset({'vendor=Apple'}),frozenset({'product=Multiple Products'}),0.05886475122634898,0.046250875963559916,0.03153468815697267,0.5357142857142857,11.582792207792208,1.0,0.028812141849376992,2.054228882540025,0.9708116157855546,0.4285714285714286,0.5131993282250445,0.6087662337662337
